"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.88678402292364e-54,-2.90783349571149,0.378,0.877,6.91053516236012e-50,"TNFRSF12A"
3.39265010376462e-43,-2.80103594708811,0.434,0.838,1.24259202700483e-38,"S100A10"
1.14642597393859e-38,-2.65329781498796,0.313,0.747,4.19889977214748e-34,"TM4SF1"
5.08364192011964e-36,-4.87682549946864,0.051,0.37,1.86193468966302e-31,"PHLDA1"
8.80577108007989e-36,-4.56934864069241,0.018,0.266,3.22520171579006e-31,"KRT80"
2.14775412934041e-34,-2.93155817753472,0.149,0.558,7.86636427412218e-30,"EMP1"
2.92922121655714e-33,-2.80576873297272,0.207,0.63,1.07285656277622e-28,"CNN3"
7.10161093497747e-33,-2.24797185395746,0.248,0.675,2.60103602104485e-28,"CYTOR"
5.61102795937005e-32,-2.60417579582098,0.194,0.597,2.05509510039887e-27,"RAP2B"
2.00341892438358e-31,-2.1127855615149,0.312,0.727,7.33772215244731e-27,"USP53"
7.77050595400441e-31,-4.81381834134653,0.021,0.253,2.84602551071365e-26,"CALD1"
8.92707292645964e-31,-2.80302362937266,0.11,0.468,3.26962973004511e-26,"COTL1"
1.41340670226884e-30,-2.29178317900813,0.841,0.974,5.17674338772985e-26,"SAT1"
2.79187569888428e-30,-1.81922940382741,0.436,0.831,1.02255239347336e-25,"PHLDA2"
7.40300282894436e-30,-2.7931684638944,0.089,0.429,2.71142381612916e-25,"RND3"
8.7399812095351e-30,-2.5358703036605,0.158,0.545,3.20110551780433e-25,"ZNF165"
1.43751644900068e-29,-3.40602916757411,0.109,0.455,5.2650477461099e-25,"KRT23"
2.41747342593895e-29,-2.66894098896674,0.091,0.429,8.85423816984399e-25,"RNF145"
3.00999509774537e-28,-4.39341629380331,0.016,0.221,1.10244080450022e-23,"LIF"
1.97334690542493e-27,-3.05626889687284,0.078,0.383,7.22758037580936e-23,"CHI3L1"
2.14138397909602e-27,-1.52572913119027,0.771,0.922,7.84303296183709e-23,"SQSTM1"
3.16809398090284e-27,1.6676297221624,0.925,0.766,1.16034610144547e-22,"FOS"
3.46093582047184e-27,-1.27490600388867,1,1,1.26760235360602e-22,"FTH1"
1.08655233381297e-26,-1.55710530350286,0.575,0.883,3.9796065778234e-22,"CD24"
1.55668879176652e-26,-2.638680820407,0.113,0.448,5.70152836872407e-22,"STOM"
1.67587080767256e-26,-1.33880247532594,0.593,0.89,6.1380444201815e-22,"S100A11"
1.76910237089215e-26,-1.94064711639275,0.315,0.714,6.47951434362957e-22,"ERRFI1"
3.7765162971271e-26,0.91334261716313,0.993,0.961,1.38318685898577e-21,"XBP1"
6.52601253219873e-26,-2.08274932980498,0.269,0.669,2.39021735004311e-21,"SOX9"
9.03074174874925e-26,1.00839588897164,1,1,3.3075994728969e-21,"MT-CO3"
1.6128286800669e-25,-2.62169969842757,0.131,0.468,5.90714632361303e-21,"EDN1"
1.86634429179356e-25,-2.97176224144598,0.057,0.325,6.83567260312308e-21,"IL6R"
3.48203727350086e-25,-3.0473012024266,0.035,0.266,1.27533097179242e-20,"LAMC2"
4.50930829015279e-25,1.18232470425534,0.959,0.799,1.65157925435136e-20,"MICOS10"
4.59068293403497e-25,-2.17327521320662,0.35,0.708,1.68138353141965e-20,"LGALS3"
4.75695675169469e-25,-1.0160018502355,0.296,0.714,1.7422829798757e-20,"SCGB2A2"
6.52150545822199e-25,-2.39705549327285,0.206,0.565,2.38856658912839e-20,"ADM"
7.28118364730476e-25,-1.77016819485824,0.214,0.597,2.66680632266184e-20,"HSPB8"
9.46127327195762e-25,-6.82648845619152,0.005,0.149,3.4652859485872e-20,"TREM1"
1.16151169607727e-24,-2.39767215813492,0.11,0.429,4.25415273805261e-20,"CTNNAL1"
1.79230989682312e-24,-2.61518970529047,0.109,0.422,6.56451422810436e-20,"SHB"
2.07544813013352e-24,-3.12923763152516,0.04,0.273,7.60153632142702e-20,"FOSL1"
3.38052150297018e-24,-2.58277007613447,0.239,0.591,1.23814980567786e-19,"FBXO32"
3.72836066743658e-24,-2.2858797040526,0.151,0.494,1.36554937805532e-19,"CP"
3.82090636159864e-24,-1.63111873670162,0.273,0.662,1.39944516399912e-19,"NEDD9"
4.58471553208953e-24,-2.2385374910829,0.262,0.63,1.67919791078311e-19,"DUSP14"
7.65865928104289e-24,1.40957713038614,0.924,0.721,2.80506054827477e-19,"MAGED2"
8.44163211488261e-24,-3.3339322165797,0.023,0.221,3.0918321783969e-19,"GPNMB"
9.72630425845623e-24,1.38691260683879,0.975,0.909,3.56235619770218e-19,"MPC2"
1.23264714983708e-23,-1.85865402970076,0.283,0.656,4.51469345099329e-19,"TMEM123"
1.72280764248076e-23,-2.16448074429337,0.136,0.468,6.30995527135004e-19,"P4HA1"
3.14769285319856e-23,-1.71030629918219,0.255,0.63,1.1528739844125e-18,"CDKN1A"
3.38669000446534e-23,-1.78765983468743,0.301,0.682,1.24040908103547e-18,"CEACAM6"
4.01524474645675e-23,-1.70296658472269,0.35,0.721,1.47062354083725e-18,"DSP"
4.41720625300317e-23,-1.55083215589601,0.388,0.76,1.61784596222494e-18,"FHL2"
4.59257371344524e-23,-1.52914199556699,0.508,0.844,1.68207604828645e-18,"APP"
5.13675421547242e-23,1.36931512169563,0.993,0.994,1.88138759895893e-18,"NDUFA4"
7.9692313441041e-23,-2.97334540121926,0.057,0.305,2.91881067209157e-18,"EPAS1"
1.21327610190927e-22,-1.28228395471697,0.987,1,4.4437450508529e-18,"NEAT1"
1.26104906977562e-22,-2.54985242407931,0.11,0.416,4.6187183229602e-18,"NCOA7"
2.38961514541426e-22,-1.75854559985061,0.423,0.779,8.75220443159426e-18,"KLF4"
3.89606880984442e-22,-2.05584961866644,0.254,0.591,1.42697416229362e-17,"FGF2"
4.0658058732199e-22,-2.39098358985104,0.124,0.435,1.48914205912552e-17,"TUBA4A"
4.71969720493569e-22,-2.32152766235989,0.087,0.364,1.72863629827974e-17,"ITGB6"
7.91502135272882e-22,-1.72011382658662,0.264,0.617,2.89895572065046e-17,"PMEPA1"
9.43423260772173e-22,-2.26641143384843,0.154,0.474,3.45538203490416e-17,"ELL2"
1.40752415604624e-21,-3.40686758893909,0.02,0.195,5.15519797393495e-17,"EGLN3"
1.97232214264842e-21,-1.84290872478774,0.18,0.519,7.22382707966412e-17,"RIPK2"
2.06731352932541e-21,1.96204431554371,0.874,0.63,7.57174253250726e-17,"BTG2"
2.13514661590921e-21,-1.53681708323447,0.35,0.708,7.82018799542907e-17,"IL13RA1"
2.20526191266121e-21,-7.14850729218385,0,0.104,8.07699228131295e-17,"LINC01705"
2.21540118893943e-21,-2.37988365825139,0.131,0.442,8.11412839460956e-17,"AREG"
2.64448429198164e-21,0.952953244504432,0.974,0.903,9.68568816781194e-17,"UQCR10"
2.84798595987248e-21,-5.9554031812786,0.007,0.143,1.04310333766289e-16,"KRTAP3-2"
3.36257119165182e-21,-1.70193717356569,0.368,0.688,1.2315753246544e-16,"NAMPT"
4.0195955514539e-21,-1.7669487519879,0.262,0.61,1.47221706667551e-16,"SPRING1"
4.08823017648032e-21,-3.01683192661534,0.063,0.305,1.49735518443768e-16,"ITGA2"
4.8071626017724e-21,-1.03674921665702,0.821,0.942,1.76067137452516e-16,"CSNK1A1"
5.27284672495925e-21,-3.19479106877419,0.095,0.364,1.93123284148357e-16,"PLAUR"
5.28379628877938e-21,-1.54576984512077,0.818,0.922,1.93524322872834e-16,"TACSTD2"
5.50364589162476e-21,-1.00704151988179,0.982,1,2.01576534426649e-16,"KRT18"
6.19597487909402e-21,-1.14189688821802,0.94,1,2.26933775921698e-16,"KRT8"
1.79963565997734e-20,-1.28741849349938,0.492,0.812,6.59134556823302e-16,"MYH9"
1.99394002919513e-20,-2.14434935518902,0.129,0.429,7.30300475093008e-16,"WWTR1"
2.86012474830751e-20,-2.55330130235102,0.062,0.299,1.04754929031511e-15,"MPZL2"
5.41951035046614e-20,0.678383520079028,0.987,0.974,1.98494986096173e-15,"MZT2B"
7.3706149240846e-20,2.16148304883449,0.632,0.227,2.69956142209523e-15,"PVALB"
8.44683024581413e-20,-1.88266180755109,0.233,0.558,3.09373604583188e-15,"DUSP10"
1.06932875036912e-19,1.73262377793009,0.698,0.325,3.91652348110194e-15,"DNAJC12"
1.17585962360646e-19,-5.3344732503981,0.011,0.149,4.306703457421e-15,"ACTA2"
1.1916173585499e-19,1.99877006150566,0.612,0.208,4.36441773742485e-15,"KCNJ3"
1.59580878283075e-19,-2.23521468265345,0.106,0.383,5.84480924799592e-15,"RBMS1"
1.73790433326693e-19,-5.17351661093142,0.009,0.143,6.36524841102345e-15,"CCL22"
